epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
154,2366.75,0.71672,0.36591,0.93424,0.89005,0.82432,0.85818,0.41802,1.58779,0.82277,1.81084,0.0004853,0.0004853,0.0004853
155,2383.16,0.69562,0.35423,0.93221,0.90344,0.84293,0.88933,0.45364,1.58957,0.77865,1.85361,0.0004754,0.0004754,0.0004754
156,2399.56,0.67088,0.34152,0.91956,0.92393,0.83333,0.90354,0.48617,1.52915,0.75831,1.83457,0.0004655,0.0004655,0.0004655
157,2414.39,0.66835,0.34323,0.92158,0.9263,0.7973,0.88655,0.45946,1.61245,0.75731,1.92662,0.0004556,0.0004556,0.0004556
158,2429.56,0.65069,0.33366,0.92409,0.93224,0.8056,0.90233,0.49109,1.51115,0.72374,1.85828,0.0004457,0.0004457,0.0004457
159,2445.98,0.66511,0.33914,0.91058,0.88411,0.85909,0.9198,0.47952,1.63804,0.73719,1.99906,0.0004358,0.0004358,0.0004358
160,2462.94,0.65636,0.34033,0.92026,0.95366,0.80631,0.9151,0.47968,1.62511,0.75001,1.91807,0.0004259,0.0004259,0.0004259
161,2481.78,0.68253,0.35763,0.93865,0.93351,0.82214,0.91197,0.50654,1.53784,0.72638,1.88405,0.000416,0.000416,0.000416
162,2499.16,0.66295,0.34693,0.93447,0.92154,0.84653,0.91463,0.50349,1.49705,0.72508,1.81969,0.0004061,0.0004061,0.0004061
163,2514.39,0.66616,0.34439,0.92554,0.9397,0.84242,0.91343,0.48494,1.5369,0.75334,1.82841,0.0003962,0.0003962,0.0003962
164,2530.77,0.66385,0.33682,0.91431,0.89919,0.83784,0.9058,0.47556,1.60988,0.7557,1.87982,0.0003863,0.0003863,0.0003863
165,2547.66,0.6409,0.3364,0.90758,0.90636,0.85586,0.91126,0.49259,1.575,0.76192,1.85737,0.0003764,0.0003764,0.0003764
166,2564.65,0.64682,0.33182,0.92087,0.9345,0.83547,0.9112,0.49042,1.54517,0.79057,1.81087,0.0003665,0.0003665,0.0003665
167,2581.57,0.63546,0.33137,0.91844,0.9191,0.79279,0.88335,0.48366,1.59338,0.81782,1.84302,0.0003566,0.0003566,0.0003566
168,2596.43,0.63923,0.33803,0.92458,0.89486,0.81982,0.88693,0.46665,1.66609,0.81767,1.90156,0.0003467,0.0003467,0.0003467
169,2611.94,0.61406,0.31793,0.90344,0.93364,0.82392,0.89957,0.47189,1.62111,0.77463,1.92664,0.0003368,0.0003368,0.0003368
